"File","FullPath","Score","Core","TileCore","Engine","PDFJS","PDFIUM","Render","Tiles","Scale","Lifecycle","TextLayer","Server","Backend"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfReadingFrame.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfReadingFrame.tsx","195","","","INDEFINIDO","0","0","0","0","1","3","0","0","6"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ZoomController.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\viewport\ZoomController.ts","195","","","INDEFINIDO","0","0","0","0","0","0","0","2","11"
"knexwriter\src\modules\Knexread\native-pdf-reader\ui\ribbons\KnexreadRibbon.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\ui\ribbons\KnexreadRibbon.tsx","190","","","INDEFINIDO","0","0","0","2","0","0","6","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\translationLayerCore.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\translation\translationLayerCore.service.ts","170","","","INDEFINIDO","0","0","0","0","0","0","1","1","9"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\tileRenderQualityPolicy.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\tileRenderQualityPolicy.ts","165","","","INDEFINIDO","0","0","0","0","4","0","0","3","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\diagnostics\PdfEngineDebugPanel.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\diagnostics\PdfEngineDebugPanel.tsx","160","","","INDEFINIDO","0","0","0","2","1","0","0","0","4"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\index.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\index.ts","160","","","INDEFINIDO","0","0","0","0","0","1","0","8","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\layout\ContentWidthCalculator.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\layout\ContentWidthCalculator.ts","155","","","INDEFINIDO","0","0","0","4","0","0","0","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineErrors.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineErrors.ts","155","","","INDEFINIDO","0","0","0","0","0","5","0","0","2"
"knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\api\pdf-reader.service.ts","150","","","INDEFINIDO","0","0","0","0","0","0","0","5","5"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\TileViewportObserver.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\pdf-tiles\TileViewportObserver.tsx","135","","","INDEFINIDO","0","0","0","0","1","0","0","7","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\services\pdfTextExtraction.service.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\services\pdfTextExtraction.service.ts","130","","","INDEFINIDO","0","0","0","0","0","0","5","1","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfHomePage.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfHomePage.tsx","105","","","INDEFINIDO","0","0","0","3","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfToolbar.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfToolbar.tsx","105","","","INDEFINIDO","0","0","0","3","0","0","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\workers\WorkerMessageTypes.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\workers\WorkerMessageTypes.ts","100","","","INDEFINIDO","0","0","0","0","0","4","0","0","0"
"knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfInvisibleTextLayer.tsx","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\components\PdfInvisibleTextLayer.tsx","95","","","INDEFINIDO","0","0","0","0","0","0","4","0","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\renderKnexPdfTileToCanvas.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\tiles\renderKnexPdfTileToCanvas.ts","90","","","INDEFINIDO","0","0","0","0","0","0","0","5","1"
"knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineConfig.ts","C:\knexit-workspace\knexit-workspace\knexwriter\src\modules\Knexread\native-pdf-reader\knex-pdf-engine\core\engineConfig.ts","80","","","INDEFINIDO","0","0","0","1","0","0","0","0","3"
